step,val_macro_em,reward_mean,avg_turns,clip_ratio,success_rate
420,,0.466,3.181,0.144,0.466
421,,0.431,3.226,0.149,0.431
422,,0.417,3.074,0.138,0.417
423,,0.412,3.259,0.147,0.412
424,,0.442,3.163,0.127,0.442
425,0.352,0.393,3.438,0.156,0.393
426,,0.379,3.488,0.159,0.379
427,,0.427,3.375,0.156,0.427
428,,0.441,3.284,0.146,0.441
429,,0.359,3.482,0.149,0.359
430,,0.405,3.307,0.142,0.405
431,,0.463,3.269,0.147,0.463
432,,0.413,3.327,0.167,0.413
433,,0.382,3.151,0.141,0.382
434,,0.477,3.128,0.111,0.477
435,,0.44,3.088,0.109,0.44
436,,0.375,3.248,0.137,0.375
437,,0.395,3.068,0.093,0.395
438,,0.462,3.195,0.126,0.462
439,,0.434,3.191,0.111,0.434
440,,0.402,3.216,0.107,0.402
441,,0.419,3.178,0.083,0.419
442,,0.406,3.055,0.076,0.406
443,,0.398,2.962,0.077,0.398
444,,0.456,2.895,0.068,0.456
445,,0.409,3.03,0.084,0.409
446,,0.419,3.12,0.079,0.419
447,,0.429,3.012,0.083,0.429
448,,0.466,3.083,0.072,0.466
449,,0.424,3.171,0.071,0.424
450,0.349,0.437,3.091,0.076,0.437
451,,0.427,3.247,0.092,0.427
452,,0.435,3.06,0.072,0.435
453,,0.39,3.143,0.072,0.39
454,,0.411,3.127,0.056,0.411
455,,0.48,3.089,0.069,0.48
456,,0.457,3.026,0.06,0.457
457,,0.392,3.081,0.058,0.392
458,,0.473,3.001,0.048,0.473
459,,0.454,3.312,0.074,0.454
460,,0.481,2.967,0.053,0.481
461,,0.37,3.205,0.061,0.37
462,,0.47,2.996,0.059,0.47
463,,0.412,3.026,0.053,0.412
464,,0.457,3.087,0.056,0.457
465,,0.445,3.016,0.061,0.445
466,,0.405,3.023,0.054,0.405
467,,0.438,2.993,0.06,0.438
468,,0.441,2.859,0.052,0.441
469,,0.395,3.157,0.056,0.395
470,,0.434,3.173,0.052,0.434
471,,0.423,3.12,0.045,0.423
472,,0.411,3.18,0.048,0.411
473,,0.442,3.102,0.044,0.442
474,,0.402,3.288,0.06,0.402
475,0.36,0.413,3.452,0.045,0.413
476,,0.431,3.44,0.045,0.431
477,,0.421,3.565,0.049,0.421
478,,0.452,3.552,0.045,0.452
479,,0.415,3.563,0.05,0.415
480,,0.398,3.511,0.048,0.398
481,,0.406,3.453,0.048,0.406
482,,0.502,3.342,0.043,0.502
483,,0.445,3.423,0.046,0.445
484,,0.401,3.308,0.046,0.401
485,,0.384,3.458,0.042,0.384
486,,0.463,3.37,0.043,0.463
487,,0.401,3.326,0.05,0.401
488,,0.47,3.136,0.039,0.47
489,,0.412,3.268,0.039,0.412
490,,0.464,3.314,0.039,0.464
491,,0.404,3.752,0.036,0.404
492,,0.47,3.504,0.041,0.47
493,,0.477,3.498,0.039,0.477
494,,0.484,3.704,0.036,0.484
495,,0.469,3.93,0.037,0.469
496,,0.452,4.034,0.046,0.452
497,,0.414,4.257,0.04,0.414
498,,0.417,4.215,0.035,0.417
499,,0.411,4.195,0.035,0.411
500,0.368,0.381,4.381,0.037,0.381
